Idiom,Sense,Idiomatic_Sent,Literal_Sent
бить ключом,"бурно развиваться, проявляться","Думаю, что здесь он встречался бы с людьми, разговаривал, увидел бьющую ключом жизнь","Думаю, что здесь он встречался бы с людьми, разговаривал, увидел насыщенную жизнь"
бить ключом,"бурно развиваться, проявляться","«В голове била ключом только одна мысль: бежать отсюда быстрее и как можно дальше», — заявила Опанасенко","«В голове была только одна мысль: бежать отсюда быстрее и как можно дальше», — заявила Опанасенко"
бить ключом,"бурно развиваться, проявляться","«Чтобы жизнь била ключом, мы старались проводить побольше мероприятий», — добавила она","«Чтобы жизнь была яркой, мы старались проводить побольше мероприятий», — добавила она"
бить себя в грудь,"клятвенно, крикливо уверять кого-то в чём-либо","Теперь же общественность взволновалась не на шутку,  несмотря на то, что сами обвиняемые бьют себя в грудь, уверяя, что уж в суде-то они докажут  свою полную невиновность","Теперь же общественность взволновалась не на шутку, несмотря на то, что сами обвиняемые уверяют, что уж в суде они докажут свою полную невиновность"
биться об заклад,"выражать уверенность в своей правоте, в истинности чего-либо","Бьюсь об заклад, вы не думали о том, что ваши деньги, уплаченные государству в виде налогов, расходуются на сайт о пустынных черепахах","Я уверен, вы не думали о том, что ваши деньги, уплаченные государству в виде налогов, расходуются на сайт о пустынных черепахах"
биться об заклад,"выражать уверенность в своей правоте, в истинности чего-либо","«Бьюсь об заклад, ваш ветеринар так горд!» — предположил один из юзеров","«Я уверен, ваш ветеринар так горд!» — предположил один из юзеров"
биться об заклад,"выражать уверенность в своей правоте, в истинности чего-либо","Готов биться об заклад, что на 30 процентов сборы не выросли","Готов с уверенностью утверждать, что на 30 процентов сборы не выросли"
биться об заклад,"выражать уверенность в своей правоте, в истинности чего-либо","Папа мальчика подписал вверху открытки: ""Бьюсь об заклад, Королевская почта никогда не доставит это письмо!"" Однако, ко всеобщему удивлению, дед Джеймса, 62-х летний механик, который занимается починкой бытовой техники и живет в загородном доме за несколько сотен километров от города Иксворт, все-таки получил почту от внука","Папа мальчика подписал вверху открытки: ""Могу поспорить, Королевская почта никогда не доставит это письмо!"" Однако, ко всеобщему удивлению, дед Джеймса, 62‑х летний механик, который занимается починкой бытовой техники и живет в загородном доме за несколько сотен километров от города Иксворт, всё-таки получил почту от внука"
биться об заклад,"выражать уверенность в своей правоте, в истинности чего-либо","Как пишет The Guardian, Уолш также предложил Брэнсону побиться об заклад, что и через пять лет ему будет принадлежать контроль в Virgin","Как пишет The Guardian, Уолш также предложил Брэнсону поспорить, что и через пять лет ему будет принадлежать контроль в Virgin"
богатый выбор,разнообразное количество вариантов,"В то же время крупные мегаполисы, такие как Лондон, Нью-Йорк и Токио, предлагают богатый выбор магазинов, культурных объектов и ночной развлекательной инфраструктуры","В то же время крупные мегаполисы, такие как Лондон, Нью‑Йорк и Токио, предлагают большое разнообразие магазинов, культурных объектов и ночной развлекательной инфраструктуры"
богатый выбор,разнообразное количество вариантов,"Также на четвертом этаже теперь продаются серфборды ANKER и представлен богатый выбор спортивной одежды для фитнеса и йоги: No Ka Oi, Heroine Sport, Fendi, Ultracor, Koral, Varley, Deha, LAAIN, Monreal London и другие","Также на четвертом этаже теперь продаются серфборды ANKER и представлен широкий ассортимент спортивной одежды для фитнеса и йоги: No Ka Oi, Heroine Sport, Fendi, Ultracor, Koral, Varley, Deha, LAAIN, Monreal London и другие"
богатый выбор,разнообразное количество вариантов,"По словам экспертов, преимущества жизни в экологически благополучном городе с богатым выбором жилья высокого качества омрачает однообразность социальной инфраструктуры","По словам экспертов, преимущества жизни в экологически благополучном городе с большим разнообразием жилья высокого качества омрачает однообразность социальной инфраструктуры"
богатый выбор,разнообразное количество вариантов,"Местная популяция рептилий является весьма крупной, поэтому в период размножения самки имеют богатый выбор","Местная популяция рептилий является весьма крупной, поэтому в период размножения самки имеют множество вариантов"
богатый выбор,разнообразное количество вариантов,"Богатый выбор объектов, доступность ипотеки, скидки и специальные акции способствуют тому, что покупатели готовы принимать конкретные решения и не затягивать с покупкой», — отмечает Дмитрий Халин, управляющий партнер Savills в России","Разнообразие объектов, доступность ипотеки, скидки и специальные акции способствуют тому, что покупатели готовы принимать конкретные решения и не затягивать с покупкой», — отмечает Дмитрий Халин, управляющий партнер Savills в России"
болеть душой,"испытывать постоянную тревогу, беспокоясь о ком-либо, о чём-либо","Это инициатива людей, у которых горят глаза, болит душа за самые разные направления нашей общественной жизни","Это инициатива людей, у которых горят глаза, которые сильно переживают за самые разные направления нашей общественной жизни"
болеть душой,"испытывать постоянную тревогу, беспокоясь о ком-либо, о чём-либо","«Если не болит душа оттого, что невиновные люди погибают, то все остальное превращается в пыль, мусор и пустые слова», — передает слова главы РПЦ  РИА Новости","«Если не чувствуешь сострадания оттого, что невиновные люди погибают, то всё остальное превращается в пыль, мусор и пустые слова», — передаёт слова главы РПЦ РИА Новости"
бред сивой кобылы,"о вздорных, глупых мыслях или высказываниях","Представители ЦВК назвали подобные обвинения ""бредом сивой кобылы""",Представители ЦВК назвали подобные обвинения полным абсурдом
бред сивой кобылы,"о вздорных, глупых мыслях или высказываниях",Научный руководитель Института экономики РАН Руслан Гринберг назвал «бредом сивой кобылы» предложенный Минфином налоговый маневр,Научный руководитель Института экономики РАН Руслан Гринберг назвал предложенный Минфином налоговый маневр полным абсурдом
бросаться в глаза,привлекать внимание своим видом; быть особенно заметным,"И именно потому, что это субсидирование идет не из госбюджета, а из бюджетов множества разных компаний, оно не бросается в глаза общественности, его не обсуждают при голосовании за бюджет страны","И именно потому, что это субсидирование идет не из госбюджета, а из бюджетов множества разных компаний, оно не является очевидным для общественности, его не обсуждают при голосовании за бюджет страны"
бросаться в глаза,привлекать внимание своим видом; быть особенно заметным,"Именно в таких оттенках выполнены самые бросающиеся в глаза предметы — такси, заграждения и предупредительные знаки","Именно в таких оттенках выполнены самые приметные предметы — такси, заграждения и предупредительные знаки"
бросаться в глаза,привлекать внимание своим видом; быть особенно заметным,"Рома сидит здесь уже почти три года, и сразу бросалось в глаза, что администрация легендарного ""Лефортова"" относится к нему с уважением","Рома сидит здесь уже почти три года, и сразу было заметно, что администрация легендарного ""Лефортова"" относится к нему с уважением"
бросить тень,создать неблагоприятное впечатление о чем-нибудь или о ком-нибудь,"Заместитель главы ведомства Сергей Рябков заявил, что цель распространителей вбросов о появлении кокаина на территории посольства — «бросить тень на работу дипмисии»","Заместитель главы ведомства Сергей Рябков заявил, что цель распространителей вбросов о появлении кокаина на территории посольства — создать негативное впечатление о работе дипмиссии"
бросить тень,создать неблагоприятное впечатление о чем-нибудь или о ком-нибудь,"Надеюсь, никто не попытается бросить тень на результат выборов и ссылаться на демократию, чтобы скрыть собственный провал","Надеюсь, никто не попытается дискредитировать результат выборов и ссылаться на демократию, чтобы скрыть собственный провал"
бросить тень,создать неблагоприятное впечатление о чем-нибудь или о ком-нибудь,"Мы не собираемся отвечать на каждые клеветнические заявления мистера Тебаса и комментировать его ложные обвинения в наш адрес, с помощью которых он пытается бросить тень на наш клуб","Мы не собираемся отвечать на каждые клеветнические заявления мистера Тебаса и комментировать его ложные обвинения в наш адрес, с помощью которых он пытается очернить наш клуб"
бросить тень,создать неблагоприятное впечатление о чем-нибудь или о ком-нибудь,"По словам эксперта, «цель данной информационной провокации — бросить тень на Россию и попытаться дискредитировать усилия Москвы по политико-дипломатическому разрешению сирийского кризиса»","По словам эксперта, «цель данной информационной провокации — создать негативный образ России и попытаться дискредитировать усилия Москвы по политико‑дипломатическому разрешению сирийского кризиса»"
бросить тень,создать неблагоприятное впечатление о чем-нибудь или о ком-нибудь,"Однако в 1950-х годах Сталин и Готвальд совершили ряд ошибок, которые бросили тень на их имя, отметил градоначальник","Однако в 1950-х годах Сталин и Готвальд совершили ряд ошибок, которые испортили их репутацию, отметил градоначальник"
в двух шагах,находиться на на очень близком расстоянии,"Слишком много положительного Трамп уже наговорил о России, а теперь, когда он находится в двух шагах от того, чтобы номинироваться в кандидаты в президенты США, ему надо балансировать","Слишком много положительного Трамп уже наговорил о России, а теперь, когда он находится очень близко к тому, чтобы номинироваться в кандидаты в президенты США, ему надо балансировать"
в двух шагах,находиться на на очень близком расстоянии,"В РГСУ подчеркивают, что питейное заведение находится ""в двух шагах"" от проходной университета","В РГСУ подчеркивают, что питейное заведение находится совсем рядом с проходной университета"
в двух шагах,находиться на на очень близком расстоянии,"Мы живем в двух шагах от завода, и который день вонь стоит","Мы живем поблизости с заводом, и который день вонь стоит"
в двух шагах,находиться на на очень близком расстоянии,"Место, где все прощаются, находится в двух шагах","Место, где все прощаются, находится совсем рядом"
в двух шагах,находиться на на очень близком расстоянии,"Мы предложим провести соревнования по триатлону на Сене, в двух шагах от парижской мэрии и Эйфелевой башни","Мы предложим провести соревнования по триатлону на Сене, в непосредственной близости от парижской мэрии и Эйфелевой башни"
в мир иной,"уйти загробный мир, в который уходят люди после смерти, обитель умерших или их душ; умереть","«Может быть, есть люди, которые к такому нормально относятся, но мы очень хотим, чтобы это животное ушло в мир иной», — резюмирует он","«Может быть, есть люди, которые к такому нормально относятся, но мы очень хотим, чтобы это животное умерло», — резюмирует он"
в мир иной,"уйти загробный мир, в который уходят люди после смерти, обитель умерших или их душ; умереть","Вот уйдем в мир иной, одни книги от нас останутся, а пока мы еще здесь, будем позорить сцену», — пояснил Александр Цыпкин","Вот умрем, одни книги от нас останутся, а пока мы еще здесь, будем позорить сцену», — пояснил Александр Цыпкин"
в мир иной,"уйти загробный мир, в который уходят люди после смерти, обитель умерших или их душ; умереть","«Ушел в мир иной великий композитор, народный артист СССР, народный артист Белоруссии Игорь Михайлович Лученок","«Умер великий композитор, народный артист СССР, народный артист Белоруссии Игорь Михайлович Лученок»"
в мир иной,"уйти загробный мир, в который уходят люди после смерти, обитель умерших или их душ; умереть",Под их давлением приставы завели исполнительное производство по взысканию налогов и пеней с ушедшего в мир иной бизнесмена,Под их давлением приставы завели исполнительное производство по взысканию налогов и пеней с умершего бизнесмена
в один голос,"единодушно, согласно друг с другом","«Мы надеемся, что народы Европы скажут в один голос: ""Но пасаран!"" Надо сказать, что мы видим угрозу», — подчеркнул он","«Мы надеемся, что народы Европы скажут все вместе: ""Но пасаран!"" Надо сказать, что мы видим угрозу», — подчеркнул он"
в один голос,"единодушно, согласно друг с другом","«Самое важное: США и Израиль могут в один голос заявить, что Ирану никогда нельзя позволить обзавестись ядерным оружием — подчеркиваю, никогда — и он должен прекратить сеющие смерть финансирование, подготовку и оснащение террористов и вооруженных формирований, и прекратить немедленно»","«Самое важное: США и Израиль могут единогласно заявить, что Ирану никогда нельзя позволить обзавестись ядерным оружием — подчеркиваю, никогда — и он должен прекратить сеющие смерть финансирование, подготовку и оснащение террористов и вооруженных формирований, и прекратить немедленно»"
в поте лица,очень усердно,"Я работал в поте лица, чтобы находиться здесь","Я усердно работал, чтобы находиться здесь"
в поте лица,очень усердно,"Мой незаконнорожденный дед Иван Иваныч в поте лица своего трудился с 1917-го на ""зерновом фронте"", то есть проводил на самом деле продразверстки, стрелял и отстреливался там у себя в Воронежской губернии, в то время как законнорожденная часть семьи кто эмигрировал, а кто пошел в белогвардейцы","Мой незаконнорожденный дед Иван Иваныч неустанно трудился с 1917‑го на «зерновом фронте», то есть проводил на самом деле продразверстки, стрелял и отстреливался там у себя в Воронежской губернии, в то время как законнорожденная часть семьи кто эмигрировал, а кто пошёл в белогвардейцы"
в поте лица,очень усердно,"Он любит показать, в каких условиях, типа, работает, и как он с этим справляется в поте лица","Он любит показать, в каких условиях, типа, работает, и как он с этим справляется с большим усилием"
в пределах разумного,в рамках допустимого и логичного,"Надо поднимать акциз на всю спиртосодержащую продукцию в пределах разумного, чтобы цены были сопоставимыми с водкой","Надо поднимать акциз на всю спиртосодержащую продукцию умеренно, чтобы цены были сопоставимыми с водкой"
в пределах разумного,в рамках допустимого и логичного,"Это, по словам советника, означает, что «при любом курсе ЦБ способен его держать бесконечно долго при условии, что он будет в пределах разумного»","Это, по словам советника, означает, что «при любом курсе ЦБ способен его держать бесконечно долго при условии, что он не будет переходить допустимые границы»"
в пределах разумного,в рамках допустимого и логичного,"По словам прокурора Томской области Василия Войкина, оценка поступку подсудимого должна быть дана ""строгая, но в пределах разумного"", сообщает РАПСИ","По словам прокурора Томской области Василия Войкина, оценка поступку подсудимого должна быть дана ""строгая, но взвешенная"", сообщает РАПСИ"
в пределах разумного,в рамках допустимого и логичного,"Деятельность букмекерских контор и тотализаторов, согласно официальному сообщению, предлагается запретить «до того периода, когда сознательность граждан достигнет понимания, что участие в каких-либо пари должно быть в пределах разумного»","Деятельность букмекерских контор и тотализаторов, согласно официальному сообщению, предлагается запретить «до того периода, когда сознательность граждан достигнет понимания, что участие в каких-либо пари должно быть умеренным»"
в прекрасной форме,находиться в отличном физическом или психологическом состоянии,"По словам продюсера шоу Олега Чеснокова, Попов до последнего момента своей жизни пребывал в прекрасной форме и с удовольствием общался с людьми","По словам продюсера шоу Олега Чеснокова, Попов до последнего момента своей жизни находился в отличном физическом состоянии и с удовольствием общался с людьми"
в прекрасной форме,находиться в отличном физическом или психологическом состоянии,"Спортсмен настаивает, что не испытывает каких-либо проблем со здоровьем и находится в прекрасной форме","Спортсмен настаивает, что не испытывает каких-либо проблем со здоровьем и находится в отличном физическом состоянии"
в прекрасной форме,находиться в отличном физическом или психологическом состоянии,"Тренер российской команды отметил, что Аршавин находится в прекрасной форме","Тренер российской команды отметил, что Аршавин находится в отличном физическом состоянии"
в прекрасной форме,находиться в отличном физическом или психологическом состоянии,"Лоськов в прекрасной форме, но играть в основе пока не может","Лоськов в хорошем физическом состоянии, но играть в основе пока не может"
в прекрасной форме,находиться в отличном физическом или психологическом состоянии,"Умберто Скапини подчеркнул, что Берлускони находится в прекрасной форме для своих лет","Умберто Скапини подчеркнул, что Берлускони очень энергичен для своих лет"
в пух и прах,"совершенно, полностью, окончательно, исключительно (разбить, проиграться) ",«Они вернулись домой разбитыми в пух и прах!» — заявил американский президент,«Они вернулись домой абсолютно разгромленными!» — заявил американский президент
в пух и прах,"совершенно, полностью, окончательно, исключительно (разбить, проиграться) ","Эксперт заключает, что «появление американских крылатых ракет и баллистических ракет средней дальности в Европе в пух и прах разносит систему ответно-встречного удара, которая является основой нашей стратегии ядерного сдерживания","Эксперт заключает, что «появление американских крылатых ракет и баллистических ракет средней дальности в Европе делает абсолютно неэффективной систему ответно-встречного удара, которая является основой нашей стратегии ядерного сдерживания"
в пух и прах,"совершенно, полностью, окончательно, исключительно (разбить, проиграться) ","«Но все равно, когда ты в этом котле варишься всю жизнь с детства, представить трудно, что такую огромную махину можно так разнести в пух и прах», — сказал он","«Но всё равно, когда ты в этом котле варишься всю жизнь с детства, представить трудно, что такую огромную махину можно так полностью разрушить», — сказал он"
в центре внимания,"главный, основной, привлекающий всеобщее внимание",Бывший защитник донецкого «Шахтера» и сборной Украины по футболу Вячеслав Шевчук попал в центр внимания украинских СМИ после отдыха в Крыму,Бывший защитник донецкого «Шахтера» и сборной Украины по футболу Вячеслав Шевчук стал объектом интереса украинских СМИ после отдыха в Крыму
в центре внимания,"главный, основной, привлекающий всеобщее внимание","В центре внимания был контраст пастельных пудрово-розовых и нежно-голубых оттенков с яркими и глубокими бургунди и темно-синим, а также традиционного летнего белого с бирюзовым, оранжевым и желтым","Главный акцент был сделан на контрасте пастельных пудрово-розовых и нежно-голубых оттенков с яркими и глубокими бургунди и темно-синим, а также традиционного летнего белого с бирюзовым, оранжевым и желтым"
в центре внимания,"главный, основной, привлекающий всеобщее внимание","Судя по случаям, для которых герцогиня Сассекская выбирает черную одежду, она не хочет находиться в центре внимания, не хочет, чтобы фанаты фокусировались только на ней","Судя по случаям, для которых герцогиня Сассекская выбирает черную одежду, она не хочет выделяться, не хочет, чтобы фанаты фокусировались только на ней"
в центре внимания,"главный, основной, привлекающий всеобщее внимание","В центре внимания — красавица Мари, главная героиня сказки","Главный акцент — на красавице Мари, главной героине сказки"
валять дурака,"дурачиться, бездельничать, поясничать","Сначала я думала, что он валяет дурака","Сначала я думала, что он паясничает"
валять дурака,"дурачиться, бездельничать, поясничать","«Я ей ничуть не поверил, потому что мы любим валять дурака друг с другом», — объяснил потом мужчина","«Я ей ничуть не поверил, потому что мы любим дурачиться друг с другом», — объяснил потом мужчина"
валять дурака,"дурачиться, бездельничать, поясничать","Один из них крикнул президенту: «Как дела, Ману?» — «Ты можешь валять дурака, но сегодня день, когда исполняют ""Марсельезу"" и «Песню партизан», обращайся ко мне ""господин президент""», — парировал Макрон","Один из них крикнул президенту: «Как дела, Ману?» — «Ты можешь дурачиться, но сегодня день, когда исполняют ""Марсельезу"" и «Песню партизан», обращайся ко мне ""господин президент""», — парировал Макрон"
вариться в собственном соку,"работать, решать проблемы без учёта опыта других, не выходя за рамки своего коллектива. своего учреждения и т. п.","Признаюсь, меня крайне удивило, что в Тульской области нет своего правительства, есть администрация, которая варится в собственном соку и замыкается на главу региона, - заявил чиновник","Признаюсь, меня крайне удивило, что в Тульской области нет своего правительства, есть администрация, которая работает изолированно и замыкается на главу региона, — заявил чиновник"
